Concentration,Box,SurfaceArea,Sample,Overall,NormalizedSample,NormalizedOverall,OverallStdDev
60.0,Box 1,3519,3519.0,16221.0,0.974903474903475,0.9406698564593301,0.2826732707878524
30.0,Box 3,3597,3597.0,16407.0,1.0,1.0,0.2826732707878524
15.0,Box 5,2958,2958.0,15585.0,0.7944015444015444,0.737799043062201,0.2826732707878524
7.5,Box 7,2955,2955.0,15666.0,0.7934362934362934,0.7636363636363637,0.2826732707878524
3.75,Box 9,2721,2721.0,16008.0,0.7181467181467182,0.8727272727272727,0.2826732707878524
1.875,Box 11,687,687.0,15654.0,0.0637065637065637,0.7598086124401914,0.2826732707878524
0.9375,Box 13,1086,1086.0,13272.0,0.1920849420849421,0.0,0.2826732707878524
0.46875,Box 15,1620,1620.0,14367.0,0.3638996138996139,0.3492822966507177,0.2826732707878524
0.234375,Box 17,693,693.0,15213.0,0.06563706563706563,0.6191387559808612,0.2826732707878524
0.1171875,Box 19,489,489.0,15393.0,0.0,0.676555023923445,0.2826732707878524
